"tutor","country","availability","tutor_category","school_level","school_year","school_type","course_name"
"22","nl","false","3","Havo","4","Middelbare school","Nederlands"
"22","nl","false","3","Havo","5","Middelbare school","Nederlands"
"22","nl","false","3","Vwo","3","Middelbare school","Nederlands"
"22","nl","false","3","Vmbo","4","Middelbare school","Nederlands"
"22","nl","false","3","Vmbo","1","Middelbare school","Nederlands"
"22","nl","false","3","Vwo","1","Middelbare school","Nederlands"
"22","nl","false","3","Havo","3","Middelbare school","Nederlands"
"22","nl","false","3","Havo","1","Middelbare school","Nederlands"
"22","nl","false","3","Vwo","4","Middelbare school","Nederlands"
"22","nl","false","3","Vwo","6","Middelbare school","Nederlands"
"22","nl","false","3","Vmbo","2","Middelbare school","Nederlands"
"22","nl","false","3","Havo","2","Middelbare school","Nederlands"
"22","nl","false","3","Vwo","2","Middelbare school","Nederlands"
"22","nl","false","3","Vmbo","3","Middelbare school","Nederlands"
"22","nl","false","3","Vwo","5","Middelbare school","Nederlands"
"22","nl","false","3","Groep 1 t/m 8",,"Basisschool","Nederlands"
"22","nl","false","3","Havo","5","Middelbare school","Rekenen"
"22","nl","false","3","Groep 1 t/m 8",,"Basisschool","Rekenen"
"22","nl","false","3","Havo","1","Middelbare school","Rekenen"
"22","nl","false","3","Havo","4","Middelbare school","Rekenen"
"22","nl","false","3","Vwo","1","Middelbare school","Rekenen"
"22","nl","false","3","Vmbo","2","Middelbare school","Rekenen"
"22","nl","false","3","Vwo","3","Middelbare school","Rekenen"
"22","nl","false","3","Vmbo","1","Middelbare school","Rekenen"
"22","nl","false","3","Havo","3","Middelbare school","Rekenen"
"22","nl","false","3","Vwo","6","Middelbare school","Rekenen"
"22","nl","false","3","Vwo","4","Middelbare school","Rekenen"
"22","nl","false","3","Vwo","5","Middelbare school","Rekenen"
"22","nl","false","3","Vmbo","4","Middelbare school","Rekenen"
"22","nl","false","3","Vmbo","3","Middelbare school","Rekenen"
"22","nl","false","3","Vwo","2","Middelbare school","Rekenen"
"22","nl","false","3","Havo","2","Middelbare school","Rekenen"
"36","nl","false","2","Vmbo","4","Middelbare school","Biologie"
"36","nl","false","2","Havo","4","Middelbare school","Biologie"
"36","nl","false","2","Havo","2","Middelbare school","Biologie"
"36","nl","false","2","Havo","5","Middelbare school","Biologie"
"36","nl","false","2","Havo","3","Middelbare school","Biologie"
"36","nl","false","2","Vmbo","2","Middelbare school","Biologie"
"36","nl","false","2","Vmbo","1","Middelbare school","Biologie"
"36","nl","false","2","Vmbo","3","Middelbare school","Biologie"
"36","nl","false","2","Havo","1","Middelbare school","Biologie"
"36","nl","false","2","Vwo","1","Middelbare school","Natuurkunde"
"36","nl","false","2","Vmbo","3","Middelbare school","Natuurkunde"
"36","nl","false","2","Vmbo","2","Middelbare school","Natuurkunde"
"36","nl","false","2","Havo","5","Middelbare school","Natuurkunde"
"36","nl","false","2","Havo","1","Middelbare school","Natuurkunde"
"36","nl","false","2","Havo","2","Middelbare school","Natuurkunde"
"36","nl","false","2","Vmbo","4","Middelbare school","Natuurkunde"
"36","nl","false","2","Vwo","2","Middelbare school","Natuurkunde"
"36","nl","false","2","Vmbo","1","Middelbare school","Natuurkunde"
"36","nl","false","2","Vwo","3","Middelbare school","Natuurkunde"
"36","nl","false","2","Vwo","6","Middelbare school","Natuurkunde"
"36","nl","false","2","Vwo","5","Middelbare school","Natuurkunde"
"36","nl","false","2","Vwo","4","Middelbare school","Natuurkunde"
"36","nl","false","2","Havo","3","Middelbare school","Natuurkunde"
"36","nl","false","2","Havo","4","Middelbare school","Natuurkunde"
"36","nl","false","2","Havo","5","Middelbare school","Scheikunde"
"36","nl","false","2","Vwo","6","Middelbare school","Scheikunde"
"36","nl","false","2","Vwo","4","Middelbare school","Scheikunde"
"36","nl","false","2","Vmbo","3","Middelbare school","Scheikunde"
"36","nl","false","2","Vwo","3","Middelbare school","Scheikunde"
"36","nl","false","2","Havo","3","Middelbare school","Scheikunde"
"36","nl","false","2","Vwo","1","Middelbare school","Scheikunde"
"36","nl","false","2","Vwo","5","Middelbare school","Scheikunde"
"36","nl","false","2","Havo","1","Middelbare school","Scheikunde"
"36","nl","false","2","Vwo","2","Middelbare school","Scheikunde"
"36","nl","false","2","Havo","2","Middelbare school","Scheikunde"
"36","nl","false","2","Havo","4","Middelbare school","Scheikunde"
"36","nl","false","2","Vmbo","1","Middelbare school","Scheikunde"
"36","nl","false","2","Vmbo","4","Middelbare school","Scheikunde"
"36","nl","false","2","Vmbo","2","Middelbare school","Scheikunde"
"36","nl","false","2","Vwo","4","Middelbare school","Wiskunde B"
"36","nl","false","2","Vwo","6","Middelbare school","Wiskunde B"
"36","nl","false","2","Havo","5","Middelbare school","Wiskunde B"
"36","nl","false","2","Vwo","5","Middelbare school","Wiskunde B"
"36","nl","false","2","Havo","4","Middelbare school","Wiskunde B"
"36","nl","false","2","Havo","3","Middelbare school","Wiskunde onderbouw"
"36","nl","false","2","Vmbo","1","Middelbare school","Wiskunde onderbouw"
"36","nl","false","2","Vmbo","2","Middelbare school","Wiskunde onderbouw"
"36","nl","false","2","Havo","2","Middelbare school","Wiskunde onderbouw"
"36","nl","false","2","Vwo","3","Middelbare school","Wiskunde onderbouw"
"36","nl","false","2","Vmbo","4","Middelbare school","Wiskunde onderbouw"
"36","nl","false","2","Havo","1","Middelbare school","Wiskunde onderbouw"
"36","nl","false","2","Vwo","1","Middelbare school","Wiskunde onderbouw"
"36","nl","false","2","Vwo","2","Middelbare school","Wiskunde onderbouw"
"36","nl","false","2","Vmbo","3","Middelbare school","Wiskunde onderbouw"
"557","nl","true","3","Havo","3","Middelbare school","Biologie"
"557","nl","true","3","Vmbo","1","Middelbare school","Biologie"
